코드,대분류,품목명,규격,단위,판매단가,원가,조달가,매입처,차량적재수량,비고
JC001,주철-인증맨홀,맨홀뚜껑(이면도로),Ø648,세트,112800,94000,,주철제품 카탈로그,,"뚜껑 60,000 / 받침 34,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC002,주철-인증맨홀,맨홀뚜껑(정중량),Ø648,세트,184800,154000,,주철제품 카탈로그,,"뚜껑 120,000 / 받침 34,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC003,주철-인증맨홀,맨홀뚜껑(회주철),Ø648,세트,127200,106000,,주철제품 카탈로그,,"뚜껑 72,000 / 받침 34,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC004,주철-인증맨홀,맨홀뚜껑(상수도250받침),Ø648,세트,261600,218000,,주철제품 카탈로그,,"뚜껑 66,000 / 받침 152,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC005,주철-인증맨홀,맨홀뚜껑(회주철),Ø766,세트,400800,334000,,주철제품 카탈로그,,"뚜껑 202,000 / 받침 132,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC006,주철-인증맨홀,맨홀뚜껑(회주철),Ø918,세트,594000,495000,,주철제품 카탈로그,,"뚜껑 334,000 / 받침 161,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC007,주철-인증맨홀,맨홀뚜껑(이면도로),1120*620,세트,166800,139000,,주철제품 카탈로그,,"뚜껑 46,000 / 받침 47,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC008,주철-인증맨홀,맨홀뚜껑(회주철),1120*620,세트,258000,215000,,주철제품 카탈로그,,"뚜껑 84,000 / 받침 47,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC009,주철-인증맨홀,맨홀뚜껑(정중량),1120*620,세트,373200,311000,,주철제품 카탈로그,,"뚜껑 132,000 / 받침 47,000. Ø766·Ø918 속뚜껑 포함시 20,000 추가"
JC010,주철-원형맨홀,원형맨홀뚜껑,Ø300,세트,9600,8000,,주철제품 카탈로그,,
JC011,주철-원형맨홀,원형맨홀뚜껑(오수받이),Ø375,세트,24000,20000,,주철제품 카탈로그,,
JC012,주철-원형맨홀,원형맨홀뚜껑,Ø450,세트,18000,15000,,주철제품 카탈로그,,
JC013,주철-원형맨홀,원형맨홀뚜껑(정화조 보도),Ø600,세트,27600,23000,,주철제품 카탈로그,,"뚜껑 15,000 / 받침 8,000"
JC014,주철-원형맨홀,원형맨홀뚜껑(정화조 차도),Ø600,세트,37200,31000,,주철제품 카탈로그,,"뚜껑 23,000 / 받침 8,000"
